mapping,frequency,inclusive,exclusive
MAPK9<-MAP2K1,0.538461538462,JUNB<-MAPK14+MAPK9,MAPK1<-MYC+PRKCA;MAPK9<-BRAF+MAP2K1;JUNB<-MAPK9;MTOR<-PIK3CA;PRKCA<-MTOR;BRAF<-PRKCA
MAPK9<-BRAF+MAP2K1,0.461538461538,PRKCA<-MTOR;MAPK1<-MYC+PRKCA;MTOR<-PIK3CA;BRAF<-PRKCA;JUNB<-MAPK9,MAPK9<-MAP2K1;JUNB<-MAPK14+MAPK9
ERBB3<-MYC,0.615384615385,CTNNB1<-!ERBB3;SRC<-CTNNB1;MYC<-LEF1;PIK3CA<-SPP1;MAP2K1<-EGFR,CBL<-EGFR;CTNNB1<-LEF1;ERBB3<-CBL;MAP2K1<-IGF1R;IGF1R<-!CTNNB1
ERBB3<-CBL,0.384615384615,CBL<-EGFR;CTNNB1<-LEF1;MAP2K1<-IGF1R;IGF1R<-!CTNNB1,ERBB3<-MYC;CTNNB1<-!ERBB3;PIK3CA<-SPP1;MAP2K1<-EGFR;SRC<-CTNNB1;MYC<-LEF1
IGF1R<-!CTNNB1,0.384615384615,CBL<-EGFR;CTNNB1<-LEF1;ERBB3<-CBL;MAP2K1<-IGF1R,ERBB3<-MYC;CTNNB1<-!ERBB3;PIK3CA<-SPP1;MAP2K1<-EGFR;SRC<-CTNNB1;MYC<-LEF1
PRKCA<-MTOR,0.461538461538,MAPK1<-MYC+PRKCA;MAPK9<-BRAF+MAP2K1;MTOR<-PIK3CA;BRAF<-PRKCA;JUNB<-MAPK9,MAPK9<-MAP2K1;JUNB<-MAPK14+MAPK9
EGFR<-SRC,0.692307692308,,EGFR<-PIK3CA
EGFR<-PIK3CA,0.307692307692,,EGFR<-SRC
CCNB1<-FOXO3+!TP53,1.0,,
MTOR<-PIK3CA,0.461538461538,PRKCA<-MTOR;MAPK1<-MYC+PRKCA;MAPK9<-BRAF+MAP2K1;BRAF<-PRKCA;JUNB<-MAPK9,MAPK9<-MAP2K1;JUNB<-MAPK14+MAPK9
CTNNB1<-!ERBB3,0.615384615385,ERBB3<-MYC;SRC<-CTNNB1;MYC<-LEF1;PIK3CA<-SPP1;MAP2K1<-EGFR,CBL<-EGFR;CTNNB1<-LEF1;ERBB3<-CBL;MAP2K1<-IGF1R;IGF1R<-!CTNNB1
CTNNB1<-LEF1,0.384615384615,CBL<-EGFR;ERBB3<-CBL;MAP2K1<-IGF1R;IGF1R<-!CTNNB1,ERBB3<-MYC;CTNNB1<-!ERBB3;PIK3CA<-SPP1;MAP2K1<-EGFR;SRC<-CTNNB1;MYC<-LEF1
TP53<-MAPK14,0.769230769231,,SRC<-CTNNB1+ITGB3;PTK2<-SPP1;PTK2<-!PTEN;MAPK1<-EGFR+MAPK14
TP53<-MAPK9,0.384615384615,,
TP53<-MAPK1,0.0769230769231,PIK3CA<-IGF1R;PIK3CA<-ERBB3;FOXO3<-MAPK14+STK11,
TP53<-!BCL2,0.153846153846,HIF1A<-!ERBB3;PTEN<-TP53,
ITGB3<-VASP,1.0,,
MAP2K1<-IGF1R,0.384615384615,CBL<-EGFR;CTNNB1<-LEF1;ERBB3<-CBL;IGF1R<-!CTNNB1,ERBB3<-MYC;CTNNB1<-!ERBB3;PIK3CA<-SPP1;MAP2K1<-EGFR;SRC<-CTNNB1;MYC<-LEF1
MAP2K1<-EGFR,0.615384615385,ERBB3<-MYC;CTNNB1<-!ERBB3;SRC<-CTNNB1;MYC<-LEF1;PIK3CA<-SPP1,CBL<-EGFR;CTNNB1<-LEF1;ERBB3<-CBL;MAP2K1<-IGF1R;IGF1R<-!CTNNB1
CBL<-EGFR,0.384615384615,CTNNB1<-LEF1;ERBB3<-CBL;MAP2K1<-IGF1R;IGF1R<-!CTNNB1,ERBB3<-MYC;CTNNB1<-!ERBB3;PIK3CA<-SPP1;MAP2K1<-EGFR;SRC<-CTNNB1;MYC<-LEF1
PTEN<-PIK3CA,0.230769230769,,
PTEN<-TP53,0.153846153846,TP53<-!BCL2;HIF1A<-!ERBB3,
BRAF<-PRKCA,0.461538461538,PRKCA<-MTOR;MAPK1<-MYC+PRKCA;MAPK9<-BRAF+MAP2K1;MTOR<-PIK3CA;JUNB<-MAPK9,MAPK9<-MAP2K1;JUNB<-MAPK14+MAPK9
MAPT<-MAPK1,1.0,,
BCL2<-HIF1A,0.0769230769231,,
BCL2<-CTNNB1+HIF1A,0.0769230769231,,
