TR:mock:CellLine,TR:SMAD6,TR:SPP1,TR:STK11,TR:VASP,TR:YAP1,TR:CCND1i,TR:CDK4i,TR:CDKN2Ai,TR:ERBB3i,TR:SMAD2i,TR:SOCS2i,TR:STAT1i,TR:STAT3i,TR:TP53i,TR:YWHAZi,DA:ARC,DA:BAK1,DA:BCL2L1,DA:CASP3,DA:CAV1,DA:CCNB1,DA:CD44,DA:CD74,DA:EIF2S1,DA:GAPDH,DA:JUNB,DA:MAPT,DA:MCL1,DA:PDK1,DA:PIM1,DA:PIM2,DA:PPARG,DA:PTGS2,DA:RPS6,DA:SMAD1,DA:STMN1,DA:TSC2,DA:VHL,DV:ARC,DV:BAK1,DV:BCL2L1,DV:CASP3,DV:CAV1,DV:CCNB1,DV:CD44,DV:CD74,DV:EIF2S1,DV:GAPDH,DV:JUNB,DV:MAPT,DV:MCL1,DV:PDK1,DV:PIM1,DV:PIM2,DV:PPARG,DV:PTGS2,DV:RPS6,DV:SMAD1,DV:STMN1,DV:TSC2,DV:VHL
1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.270973330387175,0.440041239770747,0.365555418069513,0.307684065732236,0.162752342884493,0.519168939443142,0.323012046163594,0.391388357898217,0.273071133396054,0.332984719333808,0.292458080165737,0.297892361012601,0.178231081278496,0.210169385760588,0.306722629143725,0.455689912479944,0.403464755953343,0.502080443359893,0.326826937659124,0.412488566179796,0.339329800993785,0.277237523636029,0.388846875805551
1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.470831312337499,0.271800364362696,0.358331081321892,0.366361690355762,0.361706707543892,0.082591624734458,0.519209448821675,0.253372361440786,0.280265153617253,0.261927897229301,0.146337977736901,0.620319569233242,0.333832073896332,0.436578293697039,0.321954172531931,0.310861406559972,0.290846271395535,0.381923937348515,0.205958349860526,0.246516237600995,0.218314981325405,0.362344996021019,0.25518474942626
1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.322238807375209,0.301783924356193,0.253104770584076,0.210869312481905,0.338244512789111,0.246884492991121,0.305160715552036,0.297927347581083,0.359757787367,0.296386392814362,0.30773416473657,0.319262208109788,0.436426443013906,0.387325169310227,0.343017054819664,0.321623113012712,0.379390089246483,0.372072424914511,0.157722499521653,0.326366713003115,0.341238396774112,0.256230989821805,0.295625415910882
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.286015817855166,0.334410912134793,0.354147059256328,0.283674175495907,0.355201888880917,0.227825087292188,0.330297977000577,0.397861699521011,0.333747740293614,0.480133175884829,0.28290962483892,0.383191413279128,0.345616087378376,0.33958114800293,0.303270553854839,0.208228127784359,0.315320467152887,0.361546657554525,0.22676452266907,0.295858950795558,0.320652538270364,0.241240495444161,0.277565737956403
1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.271889832525185,0.375519628454054,0.377979256638995,0.284435185850014,0.345258625502124,0.32224478946237,0.384464222354736,0.321424397554885,0.4569550972656,0.431734556243603,0.299779046297616,0.572896365420631,0.427992499251688,0.386503938126505,0.193379984334732,0.213938179950313,0.177071427646503,0.359356070979995,0.37723121208249,0.35152688880029,0.292059848999578,0.288767871311452,0.3891775155194
1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.285135339924094,0.365813120140313,0.301385008678701,0.173130751200061,0.179039308865406,0.297622430173017,0.259638513335365,0.393061722066555,0.338901610776908,0.333567871699657,0.241647405598547,0.430782223689288,0.429157741925973,0.244722895622125,0.302218660414802,0.27255370660653,0.108155526855324,0.575783882209295,0.46366223992856,0.277310181631834,0.173960231531451,0.198426343610238,0.305064998254879
1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.439286723521401,0.346549800533085,0.31144977711216,0.392880438511069,0.382719945755821,0.452712875568818,0.278461269896231,0.483187907898704,0.444504111059112,0.331170141558777,0.448034317758427,0.319388243828902,0.32072049110095,0.265652880686594,0.303802880445727,0.331672294011414,0.383686552138763,0.294513564451658,0.282089435976741,0.3169221055944,0.259046712644363,0.238114082527301,0.338551381483763
1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.381008264897561,0.283997650642923,0.341625578529099,0.27415508513667,0.325653388079088,0.427762598777656,0.364705842719851,0.329810384825439,0.259236114332561,0.21692425655893,0.319292984136325,0.317978071090787,0.355193969110425,0.437895759248436,0.266973702673923,0.217547218627693,0.30794037491892,0.2971705359497,0.216783477364382,0.280773393749531,0.289579814594029,0.238895071156993,0.287062099617986
1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.351311119766716,0.375723311107014,0.343753108775851,0.367174925613064,0.38151257803771,0.442304146935757,0.343116968721006,0.312393170209364,0.472910158875953,0.487271766855754,0.438738404520162,0.273855386806959,0.278840396740191,0.312462791334229,0.299430643185711,0.229934411589086,0.259935159964358,0.332321654311632,0.257303619194132,0.213720184442994,0.373915686713855,0.37379588095105,0.317810569528206
1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.227846666960797,0.292807801566858,0.353075994258333,0.274485466834681,0.272736202858754,0.399311610935209,0.373033163388433,0.283775371002278,0.349726199837168,0.239153935079577,0.372577554918975,0.307896706351654,0.42413110592077,0.331597374418704,0.294444223308543,0.332313388996161,0.432866599058905,0.244334138788607,0.276120683796276,0.297199223096071,0.37633685180663,0.292576438631405,0.262557238778677
1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.265894018229817,0.347510207845798,0.177687443135021,0.359068466724543,0.401029964413077,0.349598510653552,0.196237999119746,0.254313046598217,0.434015956253345,0.231513336720235,0.528749512055144,0.20646806661499,0.264226533455214,0.236652268376432,0.381397888548332,0.285092731518705,0.391351346674773,0.349484598445249,0.260475329500798,0.219906596509486,0.37195554262502,0.285429846047453,0.317513292020385
